id	filename	md5	size	state
49ae2dcb-06c8-4b9b-938e-9dcfd7022b30	nationwidechildrens.org_clinical.TCGA-AF-2689.xml	011270301beeaa6ac4f12179d92b7386	142153	live
4b90a215-dbee-43a4-b0b0-64c2ab699eba	nationwidechildrens.org_clinical.TCGA-EI-6508.xml	41ddae24a756515499514de0f05384b8	35341	live
4b971ede-4e49-4c59-a2fe-81a3e9bed39b	nationwidechildrens.org_clinical.TCGA-DC-6154.xml	b2315e0f7aadf8ae0a81e0154e6200f0	58819	live
4c3a5ff8-61c3-440a-ba0d-a0d36a7b2fd0	nationwidechildrens.org_clinical.TCGA-F5-6864.xml	f0b850fd9388d36a1ffd03faf36c4789	45049	live
4d3606c2-569f-4b0c-9a5d-bff01601efb0	nationwidechildrens.org_clinical.TCGA-AG-A011.xml	e8d073f933e6744228b96c36e0942dd6	28993	live
4eb2238f-b9de-4f45-916f-1b04e14d8b40	nationwidechildrens.org_clinical.TCGA-F5-6861.xml	b78207ce05e6f1ba1b282f08abe3a71d	33921	live
4f15d9d1-ff92-4884-9aa2-9e9c02d3d3f4	nationwidechildrens.org_clinical.TCGA-EF-5831.xml	30100381bf0e6715f99d5da1b3186566	28683	live
509e2c0b-bd4f-4352-82f0-221504585e88	nationwidechildrens.org_clinical.TCGA-AF-6672.xml	1f4490f0b3d293c5d4b1904b6c5f9cfc	69302	live
50ecbd8a-3642-40c5-b995-74207d55eec8	nationwidechildrens.org_clinical.TCGA-AG-A036.xml	7837c02671f253e33618ac0e69d7c0c6	39663	live
53cb4b28-5f53-4640-ac4b-34d54044000b	nationwidechildrens.org_clinical.TCGA-AG-3574.xml	960734e2ebd50da0fe3ed20e83d486b2	28854	live
5763549a-78ee-4d86-9c0f-593686572536	nationwidechildrens.org_clinical.TCGA-CI-6622.xml	e03326bbc36d535bd99168a58d7d64eb	56277	live
57fcacf5-ad08-477d-8d17-a844206909f2	nationwidechildrens.org_clinical.TCGA-AG-4009.xml	42bcecb4ecec710f032034375a28f85e	28946	live
58b41399-9994-47c8-ae22-0304b0b3431d	nationwidechildrens.org_clinical.TCGA-AG-3725.xml	2bfcb2472978bb4380ca37902529a47f	29097	live
58e90697-4ac9-48dc-b59e-1edcb8962534	nationwidechildrens.org_clinical.TCGA-AG-A00Y.xml	848035cc24a1e0e822cf13d7f65b16a2	31458	live
59f30f88-592e-4607-ac01-11573aee1ab2	nationwidechildrens.org_clinical.TCGA-G5-6572.xml	d306ec9265f63de36058f78295c55942	28994	live
5e9b0f3e-5574-4846-83c1-264f6ed7ddb0	nationwidechildrens.org_clinical.TCGA-DC-6155.xml	e2b925264b17df6f910705118657a602	59105	live
5f75aab8-d488-47d2-b558-d39646c92d36	nationwidechildrens.org_clinical.TCGA-AG-A020.xml	8c627ce6ee090c160536c5543a54ccc2	41756	live
610c162f-f26d-4c84-a0d0-610eec28925b	nationwidechildrens.org_clinical.TCGA-AF-A56L.xml	e33d8269340bb85bc8cb15215ef9a937	54099	live
61898221-4ad6-4f33-8731-e0903ad01019	nationwidechildrens.org_clinical.TCGA-AG-A01W.xml	98324fc49bfc972bafe1aed5d83636b9	34761	live
